start_time,end_time
00:00:00.000,00:00:05.005
00:00:05.005,00:00:10.010
00:00:10.010,00:00:15.015
00:00:15.015,00:00:19.227
00:00:19.227,00:00:21.229
00:00:21.229,00:00:30.906
00:00:30.906,00:00:32.199
00:00:32.199,00:00:36.036
00:00:36.036,00:00:52.802
00:00:52.802,00:01:34.427
00:01:34.427,00:01:41.309
00:01:41.309,00:01:52.862
00:01:52.862,00:01:54.239
00:01:54.239,00:02:07.335
00:02:07.335,00:02:18.304
00:02:18.304,00:02:21.933
00:02:21.933,00:02:28.022
00:02:28.022,00:02:32.610
00:02:32.610,00:02:41.869
00:02:41.869,00:03:02.807
00:03:02.807,00:03:08.145
00:03:08.145,00:03:11.315
00:03:11.315,00:03:18.531
00:03:18.531,00:03:23.119
00:03:23.119,00:03:27.957
00:03:27.957,00:03:30.835
00:03:30.835,00:03:34.255
00:03:34.255,00:03:38.676
00:03:38.676,00:04:00.698
00:04:00.698,00:04:10.916
00:04:10.916,00:04:14.503
00:04:14.503,00:04:18.257
00:04:18.257,00:04:20.551
00:04:20.551,00:04:26.473
00:04:26.473,00:04:37.943
00:04:37.943,00:04:46.118
00:04:46.118,00:04:49.788
00:04:49.788,00:04:52.833
00:04:52.833,00:05:54.811
00:05:54.811,00:06:06.990
00:06:06.990,00:06:11.995
00:06:11.995,00:06:16.457
00:06:16.457,00:06:19.878
00:06:19.878,00:06:22.922
00:06:22.922,00:06:30.054
00:06:30.054,00:06:32.765
00:06:32.765,00:06:40.148
00:06:40.148,00:06:42.817
00:06:42.817,00:06:47.864
00:06:47.864,00:07:06.174
00:07:06.174,00:07:22.940
00:07:22.940,00:07:31.115
00:07:31.115,00:07:35.119
00:07:35.119,00:07:37.329
00:07:37.329,00:07:45.004
00:07:45.004,00:08:02.188
00:08:02.188,00:08:12.865
00:08:12.865,00:08:25.085
00:08:25.085,00:08:26.712
00:08:26.712,00:08:31.008
00:08:31.008,00:08:37.181
00:08:37.181,00:08:41.268
00:08:41.268,00:08:49.776
00:08:49.776,00:08:55.866
00:08:55.866,00:09:06.501
00:09:06.501,00:09:14.134
00:09:14.134,00:09:26.605
00:09:26.605,00:09:33.945
00:09:33.945,00:09:39.993
00:09:39.993,00:09:42.787
00:09:42.787,00:09:45.582
00:09:45.582,00:09:47.209
00:09:47.209,00:09:48.752
00:09:48.752,00:09:52.047
00:09:52.047,00:09:54.841
00:09:54.841,00:10:00.096
00:10:00.096,00:10:10.065
00:10:10.065,00:10:22.118
00:10:22.118,00:10:27.791
